id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,The ratio 5 : 4 expressed as a percent equals:,12.5%,40%,80%,125%,d,Very easy,Percentages
2,3.5 can be expressed in terms of percentage as:,0.35%,3.5%,35%,350%,d,Very easy,Percentages
3,Half of 1 percent written as a decimal is:,0.005,0.05,0.02,0.2,a,Very easy,Percentages
4,What is 15 percent of Rs. 34?,Rs. 3.40,Rs. 3.75,Rs. 4.50,Rs. 5.10,d,Very easy,Percentages
5,63% of 347 is:,2.25,2.40,2.50,2.75,a,Very easy,Percentages
6,88% of 370 + 24% of 210 - ? = 118?,256,258,268,358,b,Very easy,Percentages
7,860% of 50 + 50% of 860 =?,430,516,860,960,c,Very easy,Percentages
8,45% of 750 - 25% of 480 =?,216,217.50,236.50,245,b,Very easy,Percentages
9,40% of 1640 + ? = 35% of 980 + 150% of 850,372,842,962,1052,c,Very easy,Percentages
10,218% of 1674 = ? × 1800,0.5,4,6,9,d,Very easy,Percentages
11,60% of 264 is the same as:,10% of 44,15% of 1056,30% of 132,None of these,b,Very easy,Percentages
12,"270 candidate appeared for an examination, of which 252 passed. The pass percentage is:",80%,8312%,9013%,9313%,d,Very easy,Percentages
13,5 out of 2250 parts of earth is sulphur. What is the percentage of sulphur in earth:,1150,29,145,245,b,Very easy,Percentages
14,What percent of 7.2 kg is 18 gms?,.025%,0.25%,2.5%,25%,b,Very easy,Percentages
15,0.01 is what percent of 0.1?,1100,110,10,100,b,Very easy,Percentages
16,What percent of Rs. 2650 is Rs. 1987.50?,60%,75%,80%,90%,b,Very easy,Percentages
17,What percent of day is 3 hours?,1212%,1623%,1823%,2212%,a,Very easy,Percentages
18,How many litres of pure acid are there in 8 litres of a 20% solution?,1.4,1.5,1.6,2.4,c,Very easy,Percentages
19,Which one of the following shows the best percentage?,384540,425500,570700,480660,b,Very easy,Percentages
20,5% of (25% of Rs.1600) is:,Rs. 5,Rs. 17.5,Rs. 20,Rs. 25,c,Very easy,Percentages
21,"If x is 75% of y, y is what percent of x?",100,122.22,133.33,140,c,Easy,Percentages
22,"If 18% of x is the same as 13.50% of y, 50% of x is the same as:",12.50% of y,17.50% of y,25% of y,37.50% of y,d,Easy,Percentages
23,A student multiplied a number by 4/5 instead of 5/4. What is the percentage error in the calculation?,30,36,42,48,b,Easy,Percentages
24,"If ‘r’% of ‘r’ is 49, what is the value of ‘r’?",7,70,7.7,77,b,Easy,Percentages
25,"If 25% of (A + B) = 80% of (A – B), A is what percentage of B?",161.91,176.91,184.91,190.91,d,Easy,Percentages
26,"In a school 30% of the students play football and 50% of students play cricket. If 40% of the students play neither football nor cricket, what percentage of total students play both the games?",10,12,14,20,d,Easy,Percentages
27,30 liters of water is added to a 120 liters mixture containing 40% of alcohol. What is the concentration of alcohol in the resultant mixture?,30,31,32,33.33,c,Easy,Percentages
28,75 g is what percent of 2.25 kg?,3.33,33.33,4,40,a,Easy,Percentages
29,"If 25% of A is added to 50% of B, the resultant will be 90% of B. What percentage of A is B?",32.50,40,50,62.50,d,Easy,Percentages
30,"If x% of ‘a’ is the same as y% of ‘b’, a variable ‘z’ can be written as:",yazbx,aybxz,zybxa,ybaxz,c,Easy,Percentages
31,"In 2020, 37.50% of the total employees of a company paid income tax. If 450 employees of the company did not pay tax, what is the total number of employees in the company?",600,660,720,780,c,Easy,Percentages
32,"If A is 50% more than C and B is 25% less than C, A is what percent more/less than B?",70,80,90,100,d,Easy,Percentages
33,"In a big garden 40% of the trees are mango trees. The number of mango trees is 80% of the number of guava trees. The rest of the trees are Jambolan trees. If the number of Jambolan trees is 40, what is the total number of trees in the garden?",360,400,480,500,b,Easy,Percentages
34,The population of a village is 1200. 58.33% of the total population are males. 50% of males and 60% of females of the village are literate. What is the total illiterate population of the village?,400,480,540,550,d,Easy,Percentages
35,What is to be added to 40% of 900 so that the sum must be equal to 30% of 2600?,300,360,420,480,c,Easy,Percentages
36,A number is divided into two parts in such a way that 75% of the 1st part is 12 less than 30% of the 2nd part and 50% of the 2nd part is 56 more than 80% of the 1st part. What is the number?,300,320,340,350,b,Easy,Percentages
37,"A box contains 90 blue balls, 110 red balls, 150 black balls and 50 pink balls. 50% of blue balls and 70% of red balls are taken away. What percentage of the initial number of balls are remaining in the box?",60,62.50,67.50,69.50,d,Easy,Percentages
38,"Out of two numbers, 66.67% of the bigger number is equal to 90% of the smaller number. If the sum of the numbers is 188, what is the value of the greater number?",100,108,112,120,b,Easy,Percentages
39,If 70% of a number added to 90 gives the result as the number itself. What is the number?,300,360,420,480,a,Easy,Percentages
40,"If x% of y% of 125 is the same as 5% of 900, what is the product of x and y?",3000,3200,3400,3600,d,Easy,Percentages
41,"Sagar deposits 25% of his monthly salary in a bank account. From the rest of the salary, he spends 40% on rent and a combined amount of Rs. 15,000 on groceries. If now he has Rs. 12,000, what amount does he deposit in the bank account?","Rs. 10,000","Rs. 15,000","Rs. 20,000","Rs. 25,000",b,Moderate,Percentages
42,"Rs. 5300 is divided among Anuj, Manuj and Tanuj. Anuj gets 20% more amount than Manuj and Manuj gets 25% less amount than Tanuj. Find the amount (in Rs.) received by Tanuj.",2000,2400,2500,2700,a,Moderate,Percentages
43,Riyansh has some pink and some white balls. The sum of 20% of pink balls and 40% of white balls is equal to 50% of the sum of 60% of pink balls and 60% of white balls. What is the ratio of total number of white balls to that of pink balls?,1 : 1,1 : 2,2 : 1,3 : 2,a,Moderate,Percentages
44,"A student got 80% marks in an exam that has four subjects. He gets 75% marks in the first subject, 60% in the second, 90% in the third. If each subject has equal maximum marks, how many marks did he get out of 80 in the fourth subject?",60,66,72,76,d,Moderate,Percentages
